cod_ibge,municipio,sexo,idade,populacao
2301505,Arneiroz - CE,Total,10 a 14 anos,536.0
2301505,Arneiroz - CE,Total,15 a 19 anos,566.0
2301505,Arneiroz - CE,Total,20 a 24 anos,511.0
2301505,Arneiroz - CE,Total,25 a 29 anos,502.0
2301505,Arneiroz - CE,Total,30 a 34 anos,489.0
2301505,Arneiroz - CE,Total,35 a 39 anos,459.0
2301505,Arneiroz - CE,Total,40 a 44 anos,527.0
2301505,Arneiroz - CE,Total,45 a 49 anos,523.0
2301505,Arneiroz - CE,Total,50 a 54 anos,460.0
2301505,Arneiroz - CE,Total,55 a 59 anos,438.0
2301505,Arneiroz - CE,Total,60 a 64 anos,334.0
2301505,Arneiroz - CE,Total,65 a 69 anos,343.0
2301505,Arneiroz - CE,Total,70 a 74 anos,250.0
2301505,Arneiroz - CE,Total,75 a 79 anos,218.0
2301505,Arneiroz - CE,Total,80 a 84 anos,158.0
2301505,Arneiroz - CE,Total,85 a 89 anos,67.0
2301505,Arneiroz - CE,Total,90 a 94 anos,40.0
2301505,Arneiroz - CE,Total,95 a 99 anos,22.0
2301505,Arneiroz - CE,Total,100 anos ou mais,4.0
2301604,Assaré - CE,Total,Total,21697.0
2301604,Assaré - CE,Total,0 a 4 anos,1415.0
2301604,Assaré - CE,Total,5 a 9 anos,1464.0
2301604,Assaré - CE,Total,10 a 14 anos,1477.0
2301604,Assaré - CE,Total,15 a 19 anos,1704.0
2301604,Assaré - CE,Total,20 a 24 anos,1690.0
2301604,Assaré - CE,Total,25 a 29 anos,1687.0
2301604,Assaré - CE,Total,30 a 34 anos,1506.0
2301604,Assaré - CE,Total,35 a 39 anos,1374.0
2301604,Assaré - CE,Total,40 a 44 anos,1490.0
2301604,Assaré - CE,Total,45 a 49 anos,1383.0
2301604,Assaré - CE,Total,50 a 54 anos,1235.0
2301604,Assaré - CE,Total,55 a 59 anos,1247.0
2301604,Assaré - CE,Total,60 a 64 anos,996.0
2301604,Assaré - CE,Total,65 a 69 anos,847.0
2301604,Assaré - CE,Total,70 a 74 anos,759.0
2301604,Assaré - CE,Total,75 a 79 anos,595.0
2301604,Assaré - CE,Total,80 a 84 anos,446.0
2301604,Assaré - CE,Total,85 a 89 anos,237.0
2301604,Assaré - CE,Total,90 a 94 anos,107.0
2301604,Assaré - CE,Total,95 a 99 anos,32.0
2301604,Assaré - CE,Total,100 anos ou mais,6.0
2301703,Aurora - CE,Total,Total,23714.0
2301703,Aurora - CE,Total,0 a 4 anos,1472.0
2301703,Aurora - CE,Total,5 a 9 anos,1585.0
2301703,Aurora - CE,Total,10 a 14 anos,1615.0
2301703,Aurora - CE,Total,15 a 19 anos,1706.0
2301703,Aurora - CE,Total,20 a 24 anos,1755.0
2301703,Aurora - CE,Total,25 a 29 anos,1767.0
2301703,Aurora - CE,Total,30 a 34 anos,1646.0
2301703,Aurora - CE,Total,35 a 39 anos,1756.0
2301703,Aurora - CE,Total,40 a 44 anos,1756.0
2301703,Aurora - CE,Total,45 a 49 anos,1522.0
2301703,Aurora - CE,Total,50 a 54 anos,1479.0
2301703,Aurora - CE,Total,55 a 59 anos,1401.0
2301703,Aurora - CE,Total,60 a 64 anos,1121.0
2301703,Aurora - CE,Total,65 a 69 anos,909.0
2301703,Aurora - CE,Total,70 a 74 anos,797.0
2301703,Aurora - CE,Total,75 a 79 anos,627.0
2301703,Aurora - CE,Total,80 a 84 anos,452.0
2301703,Aurora - CE,Total,85 a 89 anos,217.0
2301703,Aurora - CE,Total,90 a 94 anos,84.0
2301703,Aurora - CE,Total,95 a 99 anos,34.0
2301703,Aurora - CE,Total,100 anos ou mais,13.0
2301802,Baixio - CE,Total,Total,5704.0
2301802,Baixio - CE,Total,0 a 4 anos,330.0
2301802,Baixio - CE,Total,5 a 9 anos,315.0
2301802,Baixio - CE,Total,10 a 14 anos,409.0
2301802,Baixio - CE,Total,15 a 19 anos,433.0
2301802,Baixio - CE,Total,20 a 24 anos,381.0
2301802,Baixio - CE,Total,25 a 29 anos,385.0
2301802,Baixio - CE,Total,30 a 34 anos,385.0
2301802,Baixio - CE,Total,35 a 39 anos,436.0
2301802,Baixio - CE,Total,40 a 44 anos,473.0
2301802,Baixio - CE,Total,45 a 49 anos,390.0
2301802,Baixio - CE,Total,50 a 54 anos,336.0
2301802,Baixio - CE,Total,55 a 59 anos,352.0
2301802,Baixio - CE,Total,60 a 64 anos,296.0
2301802,Baixio - CE,Total,65 a 69 anos,231.0
2301802,Baixio - CE,Total,70 a 74 anos,214.0
2301802,Baixio - CE,Total,75 a 79 anos,137.0
2301802,Baixio - CE,Total,80 a 84 anos,118.0
2301802,Baixio - CE,Total,85 a 89 anos,44.0
2301802,Baixio - CE,Total,90 a 94 anos,28.0
2301802,Baixio - CE,Total,95 a 99 anos,9.0
2301802,Baixio - CE,Total,100 anos ou mais,2.0
2301851,Banabuiú - CE,Total,Total,17195.0
2301851,Banabuiú - CE,Total,0 a 4 anos,1253.0
2301851,Banabuiú - CE,Total,5 a 9 anos,1241.0
2301851,Banabuiú - CE,Total,10 a 14 anos,1373.0
2301851,Banabuiú - CE,Total,15 a 19 anos,1396.0
2301851,Banabuiú - CE,Total,20 a 24 anos,1427.0
2301851,Banabuiú - CE,Total,25 a 29 anos,1458.0
2301851,Banabuiú - CE,Total,30 a 34 anos,1170.0
2301851,Banabuiú - CE,Total,35 a 39 anos,1178.0
2301851,Banabuiú - CE,Total,40 a 44 anos,1135.0
